problem                                 |round                              |level   |solved
BearPlays                               |SRM 664                            |1       |False
BearAttacks                             |SRM 664                            |2       |False
BearSorts                               |SRM 664                            |3       |False
ABBADiv1                                |SRM 663                            |1       |False
ChangingChange                          |SRM 663                            |2       |False
WarAndPeas                              |SRM 663                            |3       |False
FoxesOfTheRoundTable                    |SRM 662                            |1       |False
ExactTree                               |SRM 662                            |2       |False
MultiplicationTable                     |SRM 662                            |3       |False
Bitwisdom                               |2015 TCO Parallel 2B               |1       |False
Balance                                 |2015 TCO Parallel 2B               |2       |False
MinimumCuts                             |2015 TCO Parallel 2B               |3       |False
Bitwisdom                               |2015 TCO 2B                        |1       |False
Balance                                 |2015 TCO 2B                        |2       |False
MinimumCuts                             |2015 TCO 2B                        |3       |False
ModModMod                               |2015 TCO 2A                        |1       |False
FoxMeeting                              |2015 TCO 2A                        |2       |False
TrianglePainting                        |2015 TCO 2A                        |3       |False
MissingLCM                              |SRM 661                            |1       |False
ColorfulLineGraphs                      |SRM 661                            |2       |False
BridgeBuilding                          |SRM 661                            |3       |False
Coversta                                |SRM 660                            |1       |False
Privateparty                            |SRM 660                            |2       |False
Morphling                               |SRM 660                            |3       |False
ApplesAndOrangesEasy                    |SRM 659                            |1       |False
CampLunch                               |SRM 659                            |2       |False
PublicTransitHard                       |SRM 659                            |3       |False
OddEvenTree                             |SRM 658                            |1       |False
Mutalisk                                |SRM 658                            |2       |False
DancingForever                          |SRM 658                            |3       |False
TheNicePair                             |2015 TCO 1B                        |1       |False
TheTips                                 |2015 TCO 1B                        |2       |False
TheTreeAndMan                           |2015 TCO 1B                        |3       |False
Similars                                |2015 TCO 1A                        |1       |False
Autogame                                |2015 TCO 1A                        |2       |False
Revmatching                             |2015 TCO 1A                        |3       |False
ProblemSets                             |SRM 657                            |1       |False
PolynomialGCD                           |SRM 657                            |2       |False
RookGraph                               |SRM 657                            |3       |False
RandomPancakeStack                      |SRM 656                            |1       |False
PermutationCounts                       |SRM 656                            |2       |False
ForkliftTruckOperator                   |SRM 656                            |3       |False
BichromePainting                        |SRM 655                            |1       |False
Nine                                    |SRM 655                            |2       |False
BichromeSky                             |SRM 655                            |3       |False
SquareScores                            |SRM 654                            |1       |False
SuccessiveSubtraction2                  |SRM 654                            |2       |False
TwoEntrances                            |SRM 654                            |3       |False
